Date,Start time (UTC),End Time (UTC),Focus,Aperture,Flash power,Camera height (cm),Focus Card Height (AGL),Comment
2026-03-05,7:53:11 PM,7:53:39 PM,20.9,4,1/1,170,11 in,
2026-03-05,8:15:44 PM,8:16:02 PM,20.9,4,1/2,170,11 in,
2026-03-05,8:32:18 PM,8:32:38 PM,20.9,4,1/8,170,11 in,
2026-03-05,8:48:39 PM,8:48:56 PM,21,4,1/8,170,11 in,
2026-03-05,9:01:20 PM,9:01:39 PM,22,4,1/8,170,11 in,
2026-03-05,9:17:12 PM,9:17:33 PM,21.5,4,1/8,170,11 in,
2026-03-06,3:28:33 PM,3:28:46 PM,21.25,4,1/8,170,11 in,middle focus chart at +15cm
2026-03-06,4:41:48 PM,4:42:05 PM,21,4,1/8,170,11 in,middle focus chart at +15cm
2026-03-06,5:10:24 PM,5:10:47 PM,20.5,4,1/8,170,11 in,middle focus chart at +15cm
2026-03-06,5:21:28 PM,5:21:48 PM,20.75,4,1/8,170,11 in,middle focus chart at +15cm
2026-03-06,7:24:38 PM,7:24:51 PM,20.25,4,1/8,170,11 in,middle focus chart at +15cm
2026-03-06,7:48:14 PM,7:48:31 PM,20.0,4,1/8,170,11 in,middle focus chart at +15cm
2026-03-06,8:14:06 PM,8:14:20 PM,20.375,4,1/8,170,11 in,middle focus chart at +15cm
